Competidor,Haul,OrgDesCont,22,21,20,19,18
ASLAirlinesBelgium,SH,ASIA-EUR,,SAB: lgg-HGH-LGG-PVG-lgg (OE-IFB),VIE: lgg-HGH-LGG-TNA-lgg (OE-ILC),SAB: yhz-LGG-JFK-YHZ-LGG-HGH-LGG-HGH-lgg (OE-IFD),DOM: lgg-TNA-LGG-OVB-HGH-OVB-LGG-OVB-lgg (OE-ILC)
ASLAirlinesBelgium,SH,ASIA-EUR,,SAB: lgg-TLV-LGG-TLV-vie (OE-IMC),SAB: lgg-PVG-LGG-PVG-lgg (OE-IFD),,MAR: ovb-LGG-JFK-YHZ-LGG-OVB-PVG*-OVB-LGG-ovb (OE-IFD)
ASLAirlinesBelgium,SH,ASIA-EUR,,DOM: lgg-PVG-LGG-PVG-lgg (OE-IFB),SAB: lgg-TLV-LGG-TLV-vie (OE-IMC),,SAB: ovb-LGG-JFK-YHZ-LGG-ORD-YHZ-LGG-jfk (OE-IFD)
ASLAirlinesBelgium,SH,ASIA-EUR,,DOM: lgg-HGH-LGG-TNA-lgg (OE-IFD),DOM: lgg-HGH-LGG-HGH-lgg (OE-IFB),,DOM: yhz-LGG-ORD-YHZ-LGG-JFK*-YHZ-LGG-PVG*-OVB-pvg (OE-IFD)
ASLAirlinesBelgium,SH,ASIA-EUR,,MAR: pvg-LGG-JFK*-YHZ-LGG-pvg (OE-IFD),DOM: lgg-PVG-LGG-PVG-lgg (OE-IFD),,
ASLAirlinesBelgium,SH,ASIA-EUR,,MIE: hgh-LGG-ORD-YHZ-LGG-HGH-LGG-HGH-lgg (OE-IFB),DOM: lgg-TNA-LGG-TNA-lgg (OE-ILC),,
ASLAirlinesBelgium,SH,ASIA-EUR,,SAB: pvg-LGG-JFK-YHZ-LGG-HGH-LGG-TNA-lgg (OE-IFD),MAR: pvg-LGG-JFK*-YHZ-LGG-pvg (OE-IFB),,
ASLAirlinesBelgium,SH,ASIA-EUR,,,MIE: hgh-LGG-JFK-YHZ*-LGG-HGH-LGG-PVG-LGG-pvg (OE-IFD),,
ASLAirlinesBelgium,SH,ASIA-EUR,,,VIE: pvg-LGG-ORD-YHZ-LGG-JFK-YHZ-LGG-hgh (OE-IFB),,
ASLAirlinesBelgium,SH,ASIA-EUR,,,SAB: yhz-LGG-JFK-YHZ-LGG-HGH-LGG-HGH-lgg (OE-IFB),,
AerLingus,SH,ASIA-EUR,LUN: dub-PEK-DUB-PEK-dub (EI-EDY),LUN: dub-PEK-DUB-PEK-dub (EI-EDY),LUN: dub-PEK-DUB-PEK-dub (EI-EDY),LUN: dub-PEK-DUB-PEK-dub (EI-EDY),LUN: dub-PEK-DUB-JFK-DUB-PEK-DUB-PEK-dub (EI-EAV)
AerLingus,SH,ASIA-EUR,LUN: dub-PEK-DUB-PEK-dub (EI-ELA),LUN: dub-PEK-DUB-PEK-dub (EI-ELA),LUN: dub-PEK-DUB-PEK-dub (EI-ELA),LUN: dub-PEK-DUB-PEK-dub (EI-ELA),LUN: dub-PEK-DUB-PEK-dub (EI-EDY)
AerLingus,SH,ASIA-EUR,LUN: dub-PEK-DUB-pek (EI-GAJ),LUN: dub-PEK-DUB-PEK-dub (EI-FNG),LUN: dub-PEK-DUB-PEK-dub (EI-FNG),LUN: dub-PEK-DUB-PEK-dub (EI-GCF),MAR: dub-PEK-DUB-ORD-DUB-PEK-DUB-PEK-dub (EI-DUZ)
AerLingus,SH,ASIA-EUR,LUN: dub-PEK-DUB-pek (EI-GCF),LUN: dub-PEK-DUB-PEK-dub (EI-FNH),LUN: dub-PEK-DUB-PEK-dub (EI-FNH),MAR: dub-PEK-DUB-PEK-dub (EI-DUZ),MAR: dub-PEK-DUB-PEK-dub (EI-GCF)
AerLingus,SH,ASIA-EUR,LUN: ord-DUB-ORD-DUB-jfk (EI-EIM),LUN: dub-PEK-DUB-PEK-dub (EI-GCF),MAR: dub-PEK-DUB-PEK-dub (EI-DUZ),MAR: dub-PEK-DUB-PEK-dub (EI-EAV),MIE: dub-PEK-DUB-PEK-dub (EI-EDY)
AerLingus,SH,ASIA-EUR,LUN: ord-DUB-JFK-DUB-ord (EI-EIN),MAR: dub-PEK-DUB-PEK-dub (EI-DUZ),MAR: dub-PEK-DUB-PEK-dub (EI-EAV),MAR: dub-PEK-DUB-PEK-dub (EI-ELA),MIE: dub-PEK-DUB-PEK-dub (EI-FNH)
AerLingus,SH,ASIA-EUR,LUN: bos-DUB-BOS-dub (EI-LRB),MAR: dub-PEK-DUB-PEK-dub (EI-EAV),MAR: dub-PEK-DUB-PEK-dub (EI-EDY),MAR: dub-PEK-DUB-PEK-dub (EI-FNH),JUE: dub-PEK-DUB-PEK-dub (EI-ELA)
AerLingus,SH,ASIA-EUR,MAR: ord-DUB-JFK-dub (EI-EIM),MAR: dub-PEK-DUB-JFK-DUB-PEK-DUB-PEK-dub (EI-EDY),MAR: dub-PEK-DUB-PEK-dub (EI-FNG),MIE: dub-PEK-DUB-PEK-dub (EI-DUZ),JUE: dub-PEK-DUB-PEK-dub (EI-FNG)
AerLingus,SH,ASIA-EUR,MAR: jfk-DUB-ORD-dub (EI-EIN),MAR: dub-PEK-DUB-PEK-dub (EI-FNG),MIE: dub-PEK-DUB-PEK-dub (EI-DUZ),MIE: dub-PEK-DUB-PEK-dub (EI-EDY),VIE: dub-PEK-DUB-PEK-dub (EI-EDY)
AerLingus,SH,ASIA-EUR,,MIE: dub-PEK-DUB-PEK-dub (EI-DUZ),MIE: dub-PEK-DUB-PEK-dub (EI-EDY),MIE: dub-PEK-DUB-PEK-dub (EI-FNG),VIE: dub-PEK-DUB-PEK-dub (EI-FNH)
AerLingus,SH,ASIA-EUR,,MIE: dub-PEK-DUB-PEK-dub (EI-ELA),MIE: dub-PEK-DUB-PEK-dub (EI-FNH),MIE: dub-PEK-DUB-PEK-dub (EI-GCF),SAB: dub-PEK-DUB-PEK-dub (EI-DUZ)
AerLingus,SH,ASIA-EUR,,MIE: dub-PEK-DUB-PEK-dub (EI-FNH),MIE: dub-PEK-DUB-PEK-dub (EI-GCF),JUE: dub-PEK-DUB-PEK-dub (EI-ELA),SAB: dub-PEK-DUB-PEK-dub (EI-GCF)
AerLingus,SH,ASIA-EUR,,MIE: dub-PEK-DUB-PEK-dub (EI-GAJ),JUE: dub-PEK-DUB-PEK-dub (EI-DUZ),JUE: dub-PEK-DUB-PEK-dub (EI-FNH),DOM: dub-PEK-DUB-PEK-dub (EI-FNG)
AerLingus,SH,ASIA-EUR,,JUE: dub-PEK-DUB-PEK-dub (EI-DUZ),JUE: dub-PEK-DUB-PEK-dub (EI-ELA),JUE: dub-PEK-DUB-PEK-dub (EI-GCF),DOM: dub-PEK-DUB-PEK-dub (EI-FNH)
AerLingus,SH,ASIA-EUR,,JUE: dub-PEK-DUB-PEK-dub (EI-EAV),JUE: dub-PEK-DUB-PEK-dub (EI-FNG),VIE: dub-PEK-DUB-PEK-dub (EI-DUZ),LUN: ord-DUB-ORD-DUB-ord (EI-EIM)
AerLingus,SH,ASIA-EUR,,JUE: dub-PEK-DUB-PEK-dub (EI-FNH),JUE: dub-PEK-DUB-PEK-dub (EI-GCF),VIE: dub-PEK-DUB-PEK-dub (EI-EDY),LUN: jfk-DUB-JFK-DUB-jfk (EI-GAJ)
AerLingus,SH,ASIA-EUR,,JUE: dub-PEK-DUB-PEK-dub (EI-GCF),VIE: dub-PEK-DUB-PEK-dub (EI-EAV),SAB: dub-PEK-DUB-PEK-dub (EI-EAV),LUN: lhr-DUB-BOS-DUB-bos (EI-LRC)
AerLingus,SH,ASIA-EUR,,VIE: dub-PEK-DUB-PEK-dub (EI-EAV),VIE: dub-PEK-DUB-PEK-dub (EI-EDY),SAB: dub-PEK-DUB-PEK-dub (EI-ELA),MAR: ord-DUB-ORD-DUB-ord (EI-EIM)
AerLingus,SH,ASIA-EUR,,VIE: dub-PEK-DUB-PEK-dub (EI-ELA),VIE: dub-PEK-DUB-PEK-dub (EI-ELA),DOM: dub-PEK-DUB-PEK-dub (EI-DUZ),MAR: jfk-DUB-JFK-DUB-jfk (EI-GAJ)
AerLingus,SH,ASIA-EUR,,VIE: dub-PEK-DUB-PEK-dub (EI-FNH),VIE: dub-PEK-DUB-PEK-dub (EI-FNH),DOM: dub-PEK-DUB-PEK-dub (EI-EAV),MIE: pek-DUB-JFK-DUB-pek (EI-EAV)
AerLingus,SH,ASIA-EUR,,VIE: dub-PEK-DUB-PEK-dub (EI-GAJ),SAB: dub-PEK-DUB-PEK-dub (EI-DUZ),DOM: dub-PEK-DUB-PEK-dub (EI-FNG),MIE: ord-DUB-ORD-DUB-ord (EI-EIM)
AerLingus,SH,ASIA-EUR,,SAB: dub-PEK-DUB-PEK-dub (EI-DUZ),SAB: dub-PEK-DUB-PEK-dub (EI-EAV),LUN: ord-DUB-JFK-DUB-ord (EI-EIM),JUE: jfk-DUB-JFK-DUB-jfk (EI-DUO)
AerLingus,SH,ASIA-EUR,,SAB: dub-PEK-DUB-PEK-dub (EI-EAV),SAB: dub-PEK-DUB-PEK-dub (EI-ELA),LUN: jfk-DUB-ORD-DUB-jfk (EI-GAJ),JUE: pek-DUB-ORD-DUB-pek (EI-DUZ)
AerLingus,SH,ASIA-EUR,,SAB: dub-PEK-DUB-PEK-dub (EI-ELA),SAB: dub-PEK-DUB-PEK-dub (EI-GCF),LUN: bos-DUB-BOS-DUB-lhr (EI-LRB),JUE: bos-DUB-BOS-DUB-lhr (EI-LRC)
AerLingus,SH,ASIA-EUR,,SAB: dub-PEK-DUB-PEK-dub (EI-GCF),DOM: dub-PEK-DUB-PEK-dub (EI-EAV),MAR: jfk-DUB-ORD-DUB-jfk (EI-EIM),VIE: ord-DUB-ORD-DUB-jfk (EI-EIM)
AerLingus,SH,ASIA-EUR,,DOM: dub-PEK-DUB-PEK-dub (EI-DUZ),DOM: dub-PEK-DUB-PEK-dub (EI-FNG),MAR: ord-DUB-JFK-DUB-ord (EI-GAJ),VIE: jfk-DUB-JFK-DUB-ord (EI-GAJ)
AerLingus,SH,ASIA-EUR,,DOM: dub-PEK-DUB-PEK-dub (EI-FNH),DOM: dub-PEK-DUB-PEK-dub (EI-FNH),MIE: ord-DUB-JFK-DUB-ord (EI-EIM),VIE: lhr-DUB-BOS-DUB-lhr (EI-LRA)
AerLingus,SH,ASIA-EUR,,DOM: dub-PEK-DUB-PEK-dub (EI-GAJ),DOM: dub-PEK-DUB-PEK-dub (EI-GCF),MIE: jfk-DUB-ORD-DUB-jfk (EI-GAJ),SAB: ord-DUB-JFK-DUB-ord (EI-EIM)
AerLingus,SH,ASIA-EUR,,DOM: dub-PEK-DUB-PEK-dub (EI-GCF),LUN: ord-DUB-JFK-DUB-ord (EI-EIM),JUE: jfk-DUB-JFK-DUB-ord (EI-DUO),SAB: jfk-DUB-ORD-DUB-jfk (EI-GAJ)
AerLingus,SH,ASIA-EUR,,LUN: jfk-DUB-ORD-DUB-jfk (EI-EIM),LUN: jfk-DUB-ORD-DUB-jfk (EI-GAJ),JUE: jfk-DUB-ORD-DUB-jfk (EI-EIM),SAB: lhr-DUB-BOS-DUB-bos (EI-LRB)
AerLingus,SH,ASIA-EUR,,LUN: ord-DUB-JFK-DUB-jfk (EI-EIN),LUN: bos-DUB-BOS-DUB-lhr (EI-LRB),JUE: lhr-DUB-BOS-DUB-lhr (EI-LRC),DOM: jfk-DUB-ORD-DUB-jfk (EI-EIM)
AerLingus,SH,ASIA-EUR,,LUN: bos-DUB-BOS-DUB-bos (EI-LRB),MAR: jfk-DUB-ORD-DUB-jfk (EI-EIM),VIE: jfk-DUB-ORD-DUB-jfk (EI-DUO),DOM: ord-DUB-JFK-DUB-ord (EI-GAJ)
AerLingus,SH,ASIA-EUR,,MAR: ord-DUB-JFK-DUB-ord (EI-EIM),MAR: ord-DUB-JFK-DUB-ord (EI-GAJ),VIE: ord-DUB-JFK-DUB-ord (EI-EIM),DOM: lhr-DUB-BOS-DUB-lhr (EI-LRC)
AerLingus,SH,ASIA-EUR,,MAR: ord-DUB-ORD-DUB-pek (EI-GAJ),MIE: ord-DUB-JFK-DUB-ord (EI-EIM),VIE: lhr-DUB-BOS-DUB-bos (EI-LRA),
AerLingus,SH,ASIA-EUR,,MIE: jfk-DUB-ORD-DUB-ord (EI-EIM),MIE: jfk-DUB-ORD-DUB-ord (EI-GAJ),SAB: jfk-DUB-ORD-DUB-ord (EI-EIM),
AerLingus,SH,ASIA-EUR,,MIE: jfk-DUB-JFK-DUB-ord (EI-EIN),JUE: ord-DUB-JFK-DUB-jfk (EI-DUO),SAB: ord-DUB-JFK-DUB-jfk (EI-GAJ),
AerLingus,SH,ASIA-EUR,,JUE: jfk-DUB-JFK-DUB-jfk (EI-DUO),JUE: jfk-DUB-ORD-DUB-jfk (EI-EIM),SAB: lhr-DUB-BOS-DUB-bos (EI-LRB),
AerLingus,SH,ASIA-EUR,,JUE: jfk-DUB-ORD-DUB-ord (EI-EIN),JUE: lhr-DUB-BOS-DUB-lhr (EI-LRA),DOM: ord-DUB-ORD-DUB-jfk (EI-EIM),
AerLingus,SH,ASIA-EUR,,JUE: bos-DUB-BOS-DUB-bos (EI-LRB),VIE: ord-DUB-JFK-DUB-jfk (EI-EIM),DOM: jfk-DUB-JFK-DUB-ord (EI-GAJ),
AerLingus,SH,ASIA-EUR,,VIE: jfk-DUB-JFK-DUB-jfk (EI-DUO),VIE: ord-DUB-ORD-DUB-jfk (EI-GAJ),DOM: bos-DUB-BOS-DUB-lhr (EI-LRA),
AerLingus,SH,ASIA-EUR,,VIE: ord-DUB-ORD-DUB-jfk (EI-EIN),VIE: lhr-DUB-BOS-DUB-bos (EI-LRC),,
AerLingus,SH,ASIA-EUR,,VIE: lhr-DUB-BOS-DUB-lhr (EI-LRC),SAB: bru-DUB-ORD-DUB-jfk (EI-EIN),,
AerLingus,SH,ASIA-EUR,,SAB: pek-DUB-JFK-DUB-pek (EI-EDY),SAB: ord-DUB-JFK-DUB-ord (EI-GAJ),,
AerLingus,SH,ASIA-EUR,,SAB: ord-DUB-ORD-DUB-ord (EI-EIM),SAB: lhr-DUB-BOS-DUB-bos (EI-LRB),,
AerLingus,SH,ASIA-EUR,,SAB: bos-DUB-BOS-DUB-bos (EI-LRB),DOM: jfk-DUB-JFK-DUB-ord (EI-EIM),,
AerLingus,SH,ASIA-EUR,,DOM: jfk-DUB-JFK-dub (EI-DUO),DOM: jfk-DUB-ORD-DUB-ord (EI-GAJ),,
AerLingus,SH,ASIA-EUR,,DOM: ord-DUB-ORD-DUB-ord (EI-EIM),DOM: bos-DUB-BOS-DUB-lhr (EI-LRC),,
AerLingus,SH,ASIA-EUR,,DOM: lhr-DUB-BOS-dub (EI-LRA),,,
AeroLogic,SH,ASIA-EUR,LUN: pvg-ICN-LEJ-NRT-hkg (D-AALA),LUN: bah-HKG-CGN-LEJ-CVG-LEJ-SIN-HKG-cgn (D-AALB),LUN: pvg-ICN-LEJ-NRT-hkg (D-AALA),LUN: sin-BKK*-HKG-LEJ*-BKK-HKG-LEJ-BAH-HKG*-LEJ-BRU-lej (D-AALA),LUN: dxb-HKG-LEJ-SIN-bkk (D-AALB)
